file,bytes,overall,productive
AntStructure.java,17844,51170698,3690319
AntStructure.java,17844,59308212,3642530
AntStructure.java,17844,52855103,3550795
AntStructure.java,17844,56496748,3575767
AntStructure.java,17844,113478105,3670551
AntStructure.java,17844,47847256,4491930
AntStructure.java,17844,40266714,3250897
AntTypeDefinition.java,13276,25952070,3943616
AntTypeDefinition.java,13276,26274409,3164809
AntTypeDefinition.java,13276,26056218,2547535
AntTypeDefinition.java,13276,30118406,3656726
AntTypeDefinition.java,13276,24429427,1669047
AntTypeDefinition.java,13276,25153147,2258196
AntTypeDefinition.java,13276,27040506,2498807
AntTypeDefinition.java,13276,25614103,2749988
AntTypeDefinition.java,13276,25870042,2259249
AntTypeDefinition.java,13276,28162343,2243285
AntVersion.java,5369,13438291,1221466
AntVersion.java,5369,13304963,1048612
AntVersion.java,5369,13242193,1128229
AntVersion.java,5369,13537675,1131340
AntVersion.java,5369,13748128,1089466
AntVersion.java,5369,12683191,1143376
AntVersion.java,5369,13929044,1135649
AntVersion.java,5369,13149207,1073136
AntVersion.java,5369,13631655,1148957
AntVersion.java,5369,13246843,1750090
AntXMLContext.java,11623,24452650,2405217
AntXMLContext.java,11623,22908909,1980829
AntXMLContext.java,11623,24639885,2010677
AntXMLContext.java,11623,25767590,1352208
AntXMLContext.java,11623,22789459,1958046
AntXMLContext.java,11623,23301684,2099600
AntXMLContext.java,11623,21954376,2022594
AntXMLContext.java,11623,22038987,1932571
AntXMLContext.java,11623,23751068,2150889
AntXMLContext.java,11623,21269779,1897784
ApacheCatalog.java,4579,7186884,1074589
ApacheCatalog.java,4579,8056935,1069288
ApacheCatalog.java,4579,9001200,1124063
ApacheCatalog.java,4579,8247358,899365
ApacheCatalog.java,4579,8816504,847009
ApacheCatalog.java,4579,8780383,823634
ApacheCatalog.java,4579,8874994,1234677
ApacheCatalog.java,4579,9029717,873566
ApacheCatalog.java,4579,8791514,850792
ApacheCatalog.java,4579,8926305,880412
ApacheCatalogResolver.java,6515,11422239,1192650
ApacheCatalogResolver.java,6515,11183942,1087239
ApacheCatalogResolver.java,6515,10381622,1092895
ApacheCatalogResolver.java,6515,10008950,1073684
ApacheCatalogResolver.java,6515,11042898,1078932
ApacheCatalogResolver.java,6515,10735188,1055032
ApacheCatalogResolver.java,6515,10660954,1087026
ApacheCatalogResolver.java,6515,11266079,1082621
ApacheCatalogResolver.java,6515,10544239,1459161
ApacheCatalogResolver.java,6515,10890139,1078664
Appendable.java,1232,4161007,347053
Appendable.java,1232,3847860,366239
Appendable.java,1232,3808429,442924
Appendable.java,1232,8029619,620207
Appendable.java,1232,2834072,340767
Appendable.java,1232,3093866,310508
Appendable.java,1232,3886162,331851
Appendable.java,1232,3929621,344834
Appendable.java,1232,3790428,302905
Appendable.java,1232,3992340,345796
Apt.java,7637,15156456,1332419
Apt.java,7637,87380682,1304272
Apt.java,7637,14519416,1261860
Apt.java,7637,15035917,1301921
Apt.java,7637,16900282,1947150
Apt.java,7637,13647193,1528171
Apt.java,7637,17108507,1611513
Apt.java,7637,14974661,1700914
Apt.java,7637,16560142,1505402
Apt.java,7637,15984763,1324638
AptCompilerAdapter.java,6418,14460834,2164604
AptCompilerAdapter.java,6418,13575870,1315076
AptCompilerAdapter.java,6418,13782042,1297515
AptCompilerAdapter.java,6418,12731806,999218
AptCompilerAdapter.java,6418,14437896,1435139
AptCompilerAdapter.java,6418,15916917,1755386
AptCompilerAdapter.java,6418,14740570,1349402
AptCompilerAdapter.java,6418,18631322,1164690
AptCompilerAdapter.java,6418,13864757,1315248
AptCompilerAdapter.java,6418,13558613,1405109
AptExternalCompilerAdapter.java,2270,6498869,568241
AptExternalCompilerAdapter.java,2270,6249789,555720
AptExternalCompilerAdapter.java,2270,6803680,498355
AptExternalCompilerAdapter.java,2270,6218082,506824
AptExternalCompilerAdapter.java,2270,6612841,723885
AptExternalCompilerAdapter.java,2270,6981773,550606
AptExternalCompilerAdapter.java,2270,4794651,502851
AptExternalCompilerAdapter.java,2270,4196009,376834
AptExternalCompilerAdapter.java,2270,4896652,529225
AptExternalCompilerAdapter.java,2270,4939410,538698
Arc.java,4110,13011200,1365222
Arc.java,4110,12898590,1159075
Arc.java,4110,12829119,1020423
Arc.java,4110,12772477,1042939
Arc.java,4110,12894070,1020272
Arc.java,4110,14097710,1339155
Arc.java,4110,11802973,1071686
Arc.java,4110,12360994,919016
Arc.java,4110,12771461,932502
Arc.java,4110,12681156,932192
ArchiveFileSet.java,18576,34639996,2599742
ArchiveFileSet.java,18576,34294461,2672519
ArchiveFileSet.java,18576,40776992,3679158
ArchiveFileSet.java,18576,31288564,2798011
ArchiveFileSet.java,18576,31627256,3213576
ArchiveFileSet.java,18576,100307131,2827892
ArchiveFileSet.java,18576,31471548,4194738
ArchiveFileSet.java,18576,31585602,2480914
ArchiveFileSet.java,18576,31754804,1915657
ArchiveFileSet.java,18576,32807814,2643044
ArchiveResource.java,8781,19517454,2294278
ArchiveResource.java,8781,18422805,1670668
ArchiveResource.java,8781,20206673,1517094
ArchiveResource.java,8781,16127882,981780
ArchiveResource.java,8781,17590796,1470537
ArchiveResource.java,8781,17731545,1455206
ArchiveResource.java,8781,17710698,1449459
ArchiveResource.java,8781,19185435,1483145
ArchiveResource.java,8781,19561164,1471718
ArchiveResource.java,8781,17970283,1452734
Archives.java,5974,14388897,1216950
Archives.java,5974,15995419,1337500
Archives.java,5974,17588440,1814848
Archives.java,5974,14367944,1242755
Archives.java,5974,16117664,1149305
Archives.java,5974,14725687,1240087
Archives.java,5974,14874794,1173082
Archives.java,5974,16515804,1145639
Archives.java,5974,15189299,1277061
Archives.java,5974,16329536,1703554
ArchiveScanner.java,11752,21526565,2232546
ArchiveScanner.java,11752,22169000,1852094
ArchiveScanner.java,11752,22213022,2073728
ArchiveScanner.java,11752,94242787,2065165
ArchiveScanner.java,11752,20940019,1778248
ArchiveScanner.java,11752,21206656,1777666
ArchiveScanner.java,11752,22686689,1882153
ArchiveScanner.java,11752,21584230,1840497
ArchiveScanner.java,11752,21351585,1772369
ArchiveScanner.java,11752,21293323,2081312
ArgumentProcessor.java,2602,5928241,608363
ArgumentProcessor.java,2602,5059365,429432
ArgumentProcessor.java,2602,5168257,427048
ArgumentProcessor.java,2602,5868738,532432
ArgumentProcessor.java,2602,5708826,540361
ArgumentProcessor.java,2602,5554863,530500
ArgumentProcessor.java,2602,5505816,521748
ArgumentProcessor.java,2602,5258960,668635
ArgumentProcessor.java,2602,5900228,764491
ArgumentProcessor.java,2602,5941982,501321
ArgumentProcessorRegistry.java,6410,16392218,1449339
ArgumentProcessorRegistry.java,6410,16568561,1769008
ArgumentProcessorRegistry.java,6410,16585191,1245723
ArgumentProcessorRegistry.java,6410,16494249,1222264
ArgumentProcessorRegistry.java,6410,16097174,1268403
ArgumentProcessorRegistry.java,6410,15844220,1474019
ArgumentProcessorRegistry.java,6410,13964392,796672
ArgumentProcessorRegistry.java,6410,15655437,1188325
ArgumentProcessorRegistry.java,6410,16666133,1258092
ArgumentProcessorRegistry.java,6410,16111706,1354444
AsiExtraField.java,10165,18589797,2035840
AsiExtraField.java,10165,18435702,2001029
AsiExtraField.java,10165,19385367,1786005
AsiExtraField.java,10165,20434977,2773434
AsiExtraField.java,10165,22562003,1472888
AsiExtraField.java,10165,17211930,1296685
AsiExtraField.java,10165,15930986,1250171
AsiExtraField.java,10165,16755395,1862735
AsiExtraField.java,10165,16457036,1566844
AsiExtraField.java,10165,16935520,1723195
Assertions.java,11726,21373383,2250085
Assertions.java,11726,23654837,2946770
Assertions.java,11726,20355060,2085122
Assertions.java,11726,21023948,1842898
Assertions.java,11726,19159340,1654038
Assertions.java,11726,20716477,2075817
Assertions.java,11726,21926469,2480342
Assertions.java,11726,21029460,2171195
Assertions.java,11726,20581180,1811518
Assertions.java,11726,21453797,1862258
Attrib.java,5844,13756152,1074185
Attrib.java,5844,14048836,1705073
Attrib.java,5844,14823636,1105452
Attrib.java,5844,18072832,1324562
Attrib.java,5844,15962074,1160150
Attrib.java,5844,13893718,1315988
Attrib.java,5844,13415213,954976
Attrib.java,5844,12871751,980085
Attrib.java,5844,17913560,1764280
Attrib.java,5844,15954041,1010362
AttributeNamespace.java,1101,3660825,327496
AttributeNamespace.java,1101,3039347,262733
AttributeNamespace.java,1101,2998294,256965
AttributeNamespace.java,1101,3186665,282186
