file,bytes,overall,productive
AntlibDefinition.java,2557,6371339,847110
AntlibDefinition.java,2557,3796232,454831
AntlibDefinition.java,2557,5296423,564800
AntlibDefinition.java,2557,5128741,526630
ANTLR.java,14706,26110226,2572201
ANTLR.java,14706,25902367,2188823
ANTLR.java,14706,27591910,3328858
ANTLR.java,14706,25843505,2788382
ANTLR.java,14706,27567111,3016628
ANTLR.java,14706,72920035,2380222
ANTLR.java,14706,15553620,1292740
ANTLR.java,14706,31670566,2489187
ANTLR.java,14706,19515914,2728879
ANTLR.java,14706,18157531,2344270
AntMain.java,1408,3544513,375133
AntMain.java,1408,3607141,436975
AntMain.java,1408,3295187,357873
AntMain.java,1408,3261912,400070
AntMain.java,1408,2836394,301886
AntMain.java,1408,3265241,332988
AntMain.java,1408,3168390,361230
AntMain.java,1408,3223705,359563
AntMain.java,1408,3568002,396180
AntMain.java,1408,3081408,350812
AntResolver.java,3371,9642854,1471956
AntResolver.java,3371,8175768,738644
AntResolver.java,3371,7255343,686058
AntResolver.java,3371,8841382,789377
AntResolver.java,3371,8858092,745243
AntResolver.java,3371,8393330,623917
AntResolver.java,3371,6636404,651344
AntResolver.java,3371,8452945,624298
AntResolver.java,3371,8655242,618972
AntResolver.java,3371,8777139,615160
AntSoundPlayer.java,7886,16026429,1726260
AntSoundPlayer.java,7886,15166758,1272440
AntSoundPlayer.java,7886,15662080,1322018
AntSoundPlayer.java,7886,13785634,1394027
AntSoundPlayer.java,7886,16033746,2021571
AntSoundPlayer.java,7886,15624990,1233960
AntSoundPlayer.java,7886,16582580,1253700
AntSoundPlayer.java,7886,15259245,1238320
AntSoundPlayer.java,7886,15326401,1230610
AntSoundPlayer.java,7886,15293206,1236580
AntStructure.java,17844,99565746,3489085
AntStructure.java,17844,36358629,3306888
AntStructure.java,17844,37280794,2254921
AntStructure.java,17844,28496871,3122654
AntStructure.java,17844,26916219,3352290
AntStructure.java,17844,42026029,3143953
AntStructure.java,17844,53042818,3041962
AntStructure.java,17844,39178103,3089604
AntStructure.java,17844,37306364,4150923
AntStructure.java,17844,38865292,3650365
AntTypeDefinition.java,13276,75684348,2685795
AntTypeDefinition.java,13276,23250816,2158496
AntTypeDefinition.java,13276,21860712,2609008
AntTypeDefinition.java,13276,24546297,3358076
AntTypeDefinition.java,13276,13434913,1627549
AntTypeDefinition.java,13276,21443802,2142783
AntTypeDefinition.java,13276,20586258,2134121
AntTypeDefinition.java,13276,23522237,3065413
AntTypeDefinition.java,13276,22726151,2796856
AntTypeDefinition.java,13276,26057002,4259833
AntVersion.java,5369,11897929,1092182
AntVersion.java,5369,12043528,988953
AntVersion.java,5369,7721255,981100
AntVersion.java,5369,11834256,1495286
AntVersion.java,5369,11321462,1100840
AntVersion.java,5369,7617605,1086514
AntVersion.java,5369,11246545,932482
AntVersion.java,5369,11744715,994166
AntVersion.java,5369,10972504,954746
AntVersion.java,5369,11820665,1022056
AntXMLContext.java,11623,19173414,1778602
AntXMLContext.java,11623,19021408,1698456
AntXMLContext.java,11623,19290995,1685454
AntXMLContext.java,11623,20565739,1761020
AntXMLContext.java,11623,77985521,1797196
AntXMLContext.java,11623,19015594,1703126
AntXMLContext.java,11623,19016099,1751782
AntXMLContext.java,11623,18821051,1689846
AntXMLContext.java,11623,18210680,1931466
AntXMLContext.java,11623,18415226,1790171
ApacheCatalog.java,4579,7781670,1202707
ApacheCatalog.java,4579,7964211,1026211
ApacheCatalog.java,4579,7423388,862258
ApacheCatalog.java,4579,7381245,1004181
ApacheCatalog.java,4579,9018222,2099454
ApacheCatalog.java,4579,6123494,799563
ApacheCatalog.java,4579,7867368,538298
ApacheCatalog.java,4579,8874524,730959
ApacheCatalog.java,4579,6720343,780957
ApacheCatalog.java,4579,6351348,753623
ApacheCatalogResolver.java,6515,11364322,1797203
ApacheCatalogResolver.java,6515,12114013,1690026
ApacheCatalogResolver.java,6515,10151308,1021550
ApacheCatalogResolver.java,6515,6235773,989462
ApacheCatalogResolver.java,6515,12379673,1511520
ApacheCatalogResolver.java,6515,9718336,1073964
ApacheCatalogResolver.java,6515,10228588,1039309
ApacheCatalogResolver.java,6515,9479452,979372
ApacheCatalogResolver.java,6515,9469890,978008
ApacheCatalogResolver.java,6515,8835065,976768
Appendable.java,1232,3204059,373823
Appendable.java,1232,3015020,374521
Appendable.java,1232,3305967,376358
Appendable.java,1232,3926582,457948
Appendable.java,1232,3099277,385340
Appendable.java,1232,3300458,385352
Appendable.java,1232,3092839,277808
Appendable.java,1232,2859968,276060
Appendable.java,1232,3038089,282883
Appendable.java,1232,3012777,284834
Apt.java,7637,12404731,1211676
Apt.java,7637,12946376,1575525
Apt.java,7637,12059627,1135146
Apt.java,7637,12661425,1229049
Apt.java,7637,12028699,1503216
Apt.java,7637,13186918,2184471
Apt.java,7637,12239751,1119744
Apt.java,7637,15205408,2039788
Apt.java,7637,12220838,1123868
Apt.java,7637,12136684,1078192
AptCompilerAdapter.java,6418,12193370,1318742
AptCompilerAdapter.java,6418,7988781,1237900
AptCompilerAdapter.java,6418,12444302,1228276
AptCompilerAdapter.java,6418,12548903,1174026
AptCompilerAdapter.java,6418,11904602,1098400
AptCompilerAdapter.java,6418,13477500,1756595
AptCompilerAdapter.java,6418,8512242,1259719
AptCompilerAdapter.java,6418,12459817,1254972
AptCompilerAdapter.java,6418,12102250,1472864
AptCompilerAdapter.java,6418,11553322,1153258
AptExternalCompilerAdapter.java,2270,6126977,757750
AptExternalCompilerAdapter.java,2270,3171048,330081
AptExternalCompilerAdapter.java,2270,5988382,616009
AptExternalCompilerAdapter.java,2270,8240903,669125
AptExternalCompilerAdapter.java,2270,72308362,499330
AptExternalCompilerAdapter.java,2270,5847743,545105
AptExternalCompilerAdapter.java,2270,5835533,534323
AptExternalCompilerAdapter.java,2270,5970451,521629
AptExternalCompilerAdapter.java,2270,6420284,529462
AptExternalCompilerAdapter.java,2270,5959165,540198
Arc.java,4110,7479037,1009386
Arc.java,4110,10709441,855506
Arc.java,4110,11364298,1039330
Arc.java,4110,10854373,853493
Arc.java,4110,11371097,916063
Arc.java,4110,11094081,910593
Arc.java,4110,10497497,827232
Arc.java,4110,11186734,903594
Arc.java,4110,11551417,1540971
Arc.java,4110,11222364,945828
ArchiveFileSet.java,18576,27534897,2500441
ArchiveFileSet.java,18576,27996258,2384039
ArchiveFileSet.java,18576,31304443,3177663
ArchiveFileSet.java,18576,28253885,2386663
ArchiveFileSet.java,18576,27836941,2050157
ArchiveFileSet.java,18576,27988641,2332102
ArchiveFileSet.java,18576,31043157,2491087
ArchiveFileSet.java,18576,16438763,2449199
ArchiveFileSet.java,18576,27980451,2226217
ArchiveFileSet.java,18576,16277121,2096163
ArchiveResource.java,8781,9792640,1318492
ArchiveResource.java,8781,17536496,2479585
ArchiveResource.java,8781,17407569,1446762
ArchiveResource.java,8781,9874484,1358563
ArchiveResource.java,8781,89367577,1376556
ArchiveResource.java,8781,9580222,1284693
ArchiveResource.java,8781,9683994,1287494
ArchiveResource.java,8781,9767591,1257757
ArchiveResource.java,8781,10128979,1266640
ArchiveResource.java,8781,16279622,1284885
Archives.java,5974,8586777,1218737
Archives.java,5974,8035529,1027163
Archives.java,5974,6602571,666591
Archives.java,5974,9114828,1058817
Archives.java,5974,8316788,1129362
Archives.java,5974,8540849,1152374
Archives.java,5974,8026457,1036315
Archives.java,5974,8248133,1058930
Archives.java,5974,9842366,1101771
Archives.java,5974,14900021,1936499
ArchiveScanner.java,11752,18074011,1827844
ArchiveScanner.java,11752,17967200,1976341
ArchiveScanner.java,11752,18518918,2198400
ArchiveScanner.java,11752,19756616,1709673
ArchiveScanner.java,11752,18743452,1712525
ArchiveScanner.java,11752,11930311,1769355
ArchiveScanner.java,11752,19131689,1841378
ArchiveScanner.java,11752,10836349,1903982
ArchiveScanner.java,11752,18694626,1740068
ArchiveScanner.java,11752,18666542,1823305
ArgumentProcessor.java,2602,4419338,425850
ArgumentProcessor.java,2602,4458497,464495
ArgumentProcessor.java,2602,4567263,486689
ArgumentProcessor.java,2602,4522929,482102
ArgumentProcessor.java,2602,5632330,440655
ArgumentProcessor.java,2602,4608899,463671
ArgumentProcessor.java,2602,4289356,374425
ArgumentProcessor.java,2602,4415903,457416
ArgumentProcessor.java,2602,4334631,614357
ArgumentProcessor.java,2602,4433208,393850
ArgumentProcessorRegistry.java,6410,14251685,1246418
ArgumentProcessorRegistry.java,6410,8871966,1189840
ArgumentProcessorRegistry.java,6410,14489334,1532024
ArgumentProcessorRegistry.java,6410,19338196,2101033
ArgumentProcessorRegistry.java,6410,13598410,1181163
ArgumentProcessorRegistry.java,6410,14010362,1140842
ArgumentProcessorRegistry.java,6410,14630571,1150763
ArgumentProcessorRegistry.java,6410,15157734,1781850
ArgumentProcessorRegistry.java,6410,10034384,1294503
ArgumentProcessorRegistry.java,6410,87500527,1718171
AsiExtraField.java,10165,16563477,2091895
AsiExtraField.java,10165,16771748,1535580
AsiExtraField.java,10165,18890175,1615628
AsiExtraField.java,10165,17418206,1854008
AsiExtraField.java,10165,21263364,1683639
AsiExtraField.java,10165,24004141,1545815
AsiExtraField.java,10165,19780055,1605440
AsiExtraField.java,10165,15415482,1826868
AsiExtraField.java,10165,9242239,1508535
AsiExtraField.java,10165,10005003,1688087
Assertions.java,11726,17700401,2069037
Assertions.java,11726,11084821,1867065
Assertions.java,11726,17663857,1841605
Assertions.java,11726,17702341,2803838
Assertions.java,11726,20164169,1657437
Assertions.java,11726,17628169,1635486
Assertions.java,11726,11992243,1791532
Assertions.java,11726,11126844,1983055
Assertions.java,11726,18007280,1740151
Assertions.java,11726,15551880,1049697
Attrib.java,5844,11321566,1119444
Attrib.java,5844,13369000,1571012
Attrib.java,5844,11602653,1003278
Attrib.java,5844,10847234,947592
Attrib.java,5844,11937122,1410796
Attrib.java,5844,10839786,838030
Attrib.java,5844,11580218,907281
Attrib.java,5844,11056763,818730
Attrib.java,5844,13194710,1373252
Attrib.java,5844,11397875,985899
AttributeNamespace.java,1101,1527405,174930
AttributeNamespace.java,1101,2350735,249621
AttributeNamespace.java,1101,1986471,149010
AttributeNamespace.java,1101,2140874,217198
AttributeNamespace.java,1101,2276796,221730
AttributeNamespace.java,1101,2109067,212655
AttributeNamespace.java,1101,2406543,291536
AttributeNamespace.java,1101,2448530,277608
AttributeNamespace.java,1101,2373472,227087
AttributeNamespace.java,1101,2369570,271513
AttributeNamespaceDef.java,1876,5314821,515242
AttributeNamespaceDef.java,1876,5441158,465301
AttributeNamespaceDef.java,1876,5921741,427902
AttributeNamespaceDef.java,1876,5111399,384410
AttributeNamespaceDef.java,1876,3256799,368207
AttributeNamespaceDef.java,1876,5086856,361275
AttributeNamespaceDef.java,1876,3510191,375827
AttributeNamespaceDef.java,1876,4009061,509839
AttributeNamespaceDef.java,1876,5330246,405844
AttributeNamespaceDef.java,1876,5555693,454016
AugmentReference.java,3124,8421806,678171
AugmentReference.java,3124,8107282,626506
AugmentReference.java,3124,9136115,825472
AugmentReference.java,3124,5427992,551750
AugmentReference.java,3124,3980006,345758
AugmentReference.java,3124,6895324,560707
AugmentReference.java,3124,7848010,557956
AugmentReference.java,3124,7085023,561508
AugmentReference.java,3124,8316797,651096
AugmentReference.java,3124,8330460,663573
Available.java,17812,17928586,2564206
Available.java,17812,111952262,2358345
Available.java,17812,32164352,2358890
Available.java,17812,31305719,2978092
Available.java,17812,18963750,2499971
Available.java,17812,36558107,2400940
Available.java,17812,29946021,1670381
Available.java,17812,30060518,2791043
Available.java,17812,30180676,2261308
Available.java,17812,30965622,2416771
Base64Converter.java,4638,15643571,3481998
Base64Converter.java,4638,13741072,3006895
Base64Converter.java,4638,14740999,2161870
Base64Converter.java,4638,13169518,1453230
Base64Converter.java,4638,15451819,2286062
Base64Converter.java,4638,13776161,1571940
Base64Converter.java,4638,13094633,1807384
Base64Converter.java,4638,10190236,1485630
